author,editor,format_type,print_date,day_of_week_name,day_of_week_integer,publish_type,puzzle_id,title,version,percent_filled,solved,star,solving_seconds
Joel Fagliano,,Normal,2022-08-20,Saturday,6,Mini,20430,,0,100,True,,89
Joel Fagliano,,Normal,2022-08-21,Sunday,0,Mini,20445,,0,100,True,,32
Joel Fagliano,,Normal,2022-08-22,Monday,1,Mini,20449,,0,100,True,,66
Joel Fagliano,,Normal,2022-08-23,Tuesday,2,Mini,20450,,0,100,True,,32
Joel Fagliano,,Normal,2022-08-24,Wednesday,3,Mini,20451,,0,100,True,,55
Joel Fagliano,,Normal,2022-08-25,Thursday,4,Mini,20453,,0,100,True,,34
Joel Fagliano,,Normal,2022-08-26,Friday,5,Mini,20454,,0,100,True,,86
Joel Fagliano,,Normal,2022-08-27,Saturday,6,Mini,20458,,0,100,True,,162
Joel Fagliano,,Normal,2022-08-28,Sunday,0,Mini,20462,,0,100,True,,136
Joel Fagliano,,Normal,2022-08-29,Monday,1,Mini,20534,,0,100,True,,
Joel Fagliano,,Normal,2022-08-30,Tuesday,2,Mini,20535,,0,100,True,,149
Joel Fagliano,,Normal,2022-08-31,Wednesday,3,Mini,20543,,0,100,True,,151
Joel Fagliano,,Normal,2022-09-01,Thursday,4,Mini,20567,,0,100,True,,73
Joel Fagliano,,Normal,2022-09-02,Friday,5,Mini,20569,,0,100,True,,33
Joel Fagliano,,Normal,2022-09-03,Saturday,6,Mini,20570,,0,100,True,,96
Joel Fagliano,,Normal,2022-09-04,Sunday,0,Mini,20510,,0,100,True,,56
Joel Fagliano,,Normal,2022-09-05,Monday,1,Mini,20508,,0,100,True,,94
Joel Fagliano,,Normal,2022-09-06,Tuesday,2,Mini,20512,,0,100,True,,89
Joel Fagliano,,Normal,2022-09-07,Wednesday,3,Mini,20514,,0,100,True,,152
Joel Fagliano,,Normal,2022-09-08,Thursday,4,Mini,20522,,0,100,True,,108
Joel Fagliano,,Normal,2022-09-09,Friday,5,Mini,20575,,0,100,True,,180
Joel Fagliano,,Normal,2022-09-10,Saturday,6,Mini,20560,,0,100,True,,222
Joel Fagliano,,Normal,2022-09-11,Sunday,0,Mini,20592,,0,100,True,,132
Joel Fagliano,,Normal,2022-09-12,Monday,1,Mini,20593,,0,100,True,,96
Joel Fagliano,,Normal,2022-09-13,Tuesday,2,Mini,20597,,0,100,True,,61
Joel Fagliano,,Normal,2022-09-14,Wednesday,3,Mini,20599,,0,100,True,,365
Joel Fagliano,,Normal,2022-09-15,Thursday,4,Mini,20600,,0,100,True,,72
Joel Fagliano,,Normal,2022-09-16,Friday,5,Mini,20604,,0,100,True,,59
Joel Fagliano,,Normal,2022-09-17,Saturday,6,Mini,20605,,0,100,True,,265
Joel Fagliano,,Normal,2022-09-18,Sunday,0,Mini,20606,,0,100,True,,115
Joel Fagliano,,Normal,2022-09-19,Monday,1,Mini,20526,,0,100,True,,39
Joel Fagliano,,Normal,2022-09-20,Tuesday,2,Mini,20504,,0,100,True,,120
Joel Fagliano,,Normal,2022-09-21,Wednesday,3,Mini,20521,,0,100,True,,164
Joel Fagliano,,Normal,2022-09-22,Thursday,4,Mini,20499,,0,100,True,,35
Joel Fagliano,,Normal,2022-09-23,Friday,5,Mini,20505,,0,100,True,,35
Joel Fagliano,,Normal,2022-09-24,Saturday,6,Mini,20561,,0,100,True,,87
Joel Fagliano,,Normal,2022-09-25,Sunday,0,Mini,20601,,0,100,True,,275
Wyna Liu,Joel Fagliano,Normal,2022-09-26,Monday,1,Mini,20422,,0,100,True,,117
Tracy Bennett,Joel Fagliano,Normal,2022-09-27,Tuesday,2,Mini,20402,,0,100,True,,152
Sam Ezersky,Joel Fagliano,Normal,2022-09-28,Wednesday,3,Mini,20549,,0,100,True,,36
Joel Fagliano,,Normal,2022-09-29,Thursday,4,Mini,20576,,0,100,True,,62
Joel Fagliano,,Normal,2022-09-30,Friday,5,Mini,20519,,0,100,True,,47
Sam Ezersky,Joel Fagliano,Normal,2022-10-01,Saturday,6,Mini,20554,,0,100,True,,269
Joel Fagliano,,Normal,2022-10-02,Sunday,0,Mini,20500,,0,100,True,,93
Wyna Liu,Joel Fagliano,Normal,2022-10-03,Monday,1,Mini,20439,,0,100,True,,83
Tracy Bennett,Joel Fagliano,Normal,2022-10-04,Tuesday,2,Mini,20528,,0,100,True,,47
Sam Ezersky,Joel Fagliano,Normal,2022-10-05,Wednesday,3,Mini,20546,,0,100,True,,143
Joel Fagliano,,Normal,2022-10-06,Thursday,4,Mini,20511,,0,100,True,,74
Helen Chen,Joel Fagliano,Normal,2022-10-07,Friday,5,Mini,20540,,0,100,True,,141
Tracy Bennett,Joel Fagliano,Normal,2022-10-08,Saturday,6,Mini,20532,,0,100,True,,431
Sam Ezersky,Joel Fagliano,Normal,2022-10-09,Sunday,0,Mini,20552,,0,100,True,,129
Joel Fagliano,,Normal,2022-10-10,Monday,1,Mini,20524,,0,100,True,,100
Wyna Liu,Joel Fagliano,Normal,2022-10-11,Tuesday,2,Mini,20421,,0,100,True,,27
Tracy Bennett,Joel Fagliano,Normal,2022-10-12,Wednesday,3,Mini,20529,,0,100,True,,55
